English (source language),Français (target language),Category,Version,Notes
library, la bibliothèque,places,1,
movie theatre,le cinéma,places,1,
theatre,le théâtre,places,1,
swimming pool,la piscine,places,1,
skating rink,la patinoire,places,1,
restaurant,le restaurant,places,1,
airport,l'aéroport,places,1,
hospital,l'hôpital,places,1,
school,l'école,places,1,
sad,je suis triste,feelings,1,
tired,je suis fatigué(e),feelings,1,
thirsty,j'ai soif,feelings,1,
hungry,j'ai faim,feelings,1,
cold,j'ai froid,feelings,1,
warm,j'ai chaud,feelings,1,
hello/good morning,bonjour,expressions,1,
hello/good evening,bonsoir,expressions,1,
I would like... please.,Je voudrais... s'il vous plaît,expressions,1,
thank you,merci,expressions,1,
you're welcome (casual),de rien,expressions,1,
you're welcome (polite),je vous en prie,expressions,1,
excuse me madam/sir,excusez-moi madame/monsieur,expressions,1,
sorry,désolé(e),expressions,1,
have a good day,bonne journée,expressions,1,
have a good evening,bonne soirée,expressions,1,
have a good night,bonne nuit,expressions,1,
good luck,bonne chance,expressions,1,
all the best,bon courage,expressions,1,
happy new year,bonne année,expressions,1,
wishing you good health,bonne santé,expressions,1,
happy occassion,bonne fête,expressions,1,
have a good journey,bon voyage,expressions,1,
happy holidays,bonnes vacances,expressions,1,
happy birthday,joyeux anniversaire,expressions,1,
merry christmas,joyeux Noël,expressions,1,
good appetite (before eating),bon appétit,expressions,1,
have (infinitive),avoir,irregular verbs,2,
I have,j'ai,irregular verbs,2,
You have (singular/informal),tu as,irregular verbs,2,
He has,il a,irregular verbs,2,
She has,elle a,irregular verbs,2,
You have (formal/plural),vous avez,irregular verbs,2,
They have (M),ils ont,irregular verbs,2,
They have (F),elles ont,irregular verbs,2,
We have,nous avons,irregular verbs,2,
to be (infinitive),être,irregular verbs,2,
I am,je suis,irregular verbs,2,
You are (singular/informal),tu es,irregular verbs,2,
He is,il est,irregular verbs,2,
She is,elle est,irregular verbs,2,
You are (formal/plural),vous êtes,irregular verbs,2,
They are (M),ils sont,irregular verbs,2,
They are (F),elles sont,irregular verbs,2,
We are,nous sommes,irregular verbs,2,
to go (infinitive),aller,irregular verbs,2,
I go,je vais,irregular verbs,2,
You go (singular/informal),tu vas,irregular verbs,2,
He goes,il va,irregular verbs,2,
She goes,elle va,irregular verbs,2,
You go (formal/plural),vous allez,irregular verbs,2,
They go (M),ils vont,irregular verbs,2,
They go (F),elles vont,irregular verbs,2,
We go,nous allons,irregular verbs,2,
to do/make (infinitive),faire,irregular verbs,2,
I do/make,je fais,irregular verbs,2,
You do/make (singular/informal),tu fais,irregular verbs,2,
He does/makes,il fait,irregular verbs,2,
She does/makes,elle fait,irregular verbs,2,
You do/make (formal/plural),vous faites,irregular verbs,2,
They do/make (M),ils font,irregular verbs,2,
They do/make (F),elles font,irregular verbs,2,
We do/make,nous faisons,irregular verbs,2,
to want (infinitive),vouloir,irregular verbs,2,
I want,je veux,irregular verbs,2,
You want (singular/informal),tu veux,irregular verbs,2,
He wants,il veut,irregular verbs,2,
She wants,elle veut,irregular verbs,2,
You want (formal/plural),vous voulez,irregular verbs,2,
They want (M),ils veulent,irregular verbs,2,
They want (F),elles veulent,irregular verbs,2,
We want,nous voulons,irregular verbs,2,
to come (infinitive),venir,irregular verbs,2,
I come,je viens,irregular verbs,2,
You come (singular/informal),tu viens,irregular verbs,2,
He comes,il vient,irregular verbs,2,
She comes,elle vient,irregular verbs,2,
You come (formal/plural),vous venez,irregular verbs,2,
They come (M),ils viennent,irregular verbs,2,
They come (F),elles viennent,irregular verbs,2,
We come,nous venons,irregular verbs,2,
to drink (infinitive),boire,irregular verbs,2,
I drink,je bois,irregular verbs,2,
You drink (singular/informal),tu bois,irregular verbs,2,
He drinks,il boit,irregular verbs,2,
She drinks,elle boit,irregular verbs,2,
You drink (formal/plural),vous buvez,irregular verbs,2,
They drink (M),ils boivent,irregular verbs,2,
They drink (F),elles boivent,irregular verbs,2,
We drink,nous buvons,irregular verbs,2,
first,premier/première,ordinal numbers,2,
second,deuxième,ordinal numbers,2,
third,troisième,ordinal numbers,2,
fourth,quatrième,ordinal numbers,2,
fifth,cinquième,ordinal numbers,2,
sixth,sixième,ordinal numbers,2,
seventh,septième,ordinal numbers,2,
eighth,huitième,ordinal numbers,2,
ninth,neuvième,ordinal numbers,2,
tenth,dixième,ordinal numbers,2,
bus,en bus,transportation,2,
car,en voiture,transportation,2,
bike,à vélo,transportation,2,
by foot,à pied,transportation,2,
subway,en métro,transportation,2,
train,en train,transportation,2,
plane,en avion,transportation,2,
boat,en bateau,transportation,2,
horseback,à cheval,transportation,2,
museum,le musée,places,2,
park,le parc,places,2,
castle,le château,places,2,
house,la maison,places,2,
cathedral,la cathédrale,places,2,
bar,le bar,places,2,
restaurant,le restaurant,places,2,
garden,le jardin,places,2,
shop,le magasin,places,2,
boulevard,le boulevard,places,2,
street,la rue,places,2,
always,toujours,adverbs of frequency,2,
often,souvent,adverbs of frequency,2,
regularly,régulièrement,adverbs of frequency,2,
sometimes,parfois,adverbs of frequency,2,
rarely,rarement,adverbs of frequency,2,
never,jamais,adverbs of frequency,2,
one kilogram,un kilo,weights and measures,2,
one gram,un gramme,weights and measures,2,
one liter,un litre,weights and measures,2,
one centiliter,un centilitre,weights and measures,2,
a little,un peu,quantities,2,
a lot,beaucoup,quantities,2,
a tablet of,une tablette de,quantities,2,
a bottle of,une bouteille de,quantities,2,
butcher,la boucherie,businesses,2,
bakery,la boulangerie,businesses,2,
cheese shop,la fromagerie,businesses,2,
grocery store,l'épicerie,businesses,2,
pastry shop,la pâtisserie,businesses,2,
fish shop,la poissonnerie,businesses,2,
fuits and vegetables shop,le marchand de fruits et légumes,businesses,2,
spring,le printemps,seasons,2,
summer,l'été,seasons,2,
autumn,l'automne,seasons,2,
winter,l'hiver,seasons,2,
cloudy,il y a des nuages/le ciel est nuageux,weather,2,
sunny,il y a du soleil,weather,2,
rainy,il pleut,weather,2,
snowy,il neige,weather,2,
windy,il y a du vent,weather,2,
stormy,il y a de l'orage/il fait orageux,weather,2,
hot,il fait chaud,weather,2,
cold,il fait froid,weather,2,
warm,il fait doux,weather,2,
cool,il fait frais,weather,2,
clear,le ciel est dégagé,weather,2,
freezing,il gèle,weather,2,
in front of,devant,prepositions,2,
behind,derrière,prepositions,2,
next to,à côté de,prepositions,2,
between,entre,prepositions,2,
under,sous,prepositions,2,
on,sur,prepositions,2,
near,près de,prepositions,2,
far from,loin de,prepositions,2,
inside of,dans,prepositions,2,
across from/opposite,en face de,prepositions,2,
to the left of,à gauche de,prepositions,2,
to the right of,à droite de,prepositions,2,
to be familiar with (infinitive),connaître,irregular verbs,2,
I am familiar with,je connais,irregular verbs,2,
You are familiar with (singular/informal),tu connais,irregular verbs,2,
He is familiar with,il connaît,irregular verbs,2,
She is familiar with,elle connaît,irregular verbs,2,
You are familiar with (formal/plural),vous connaissez,irregular verbs,2,
They are familiar with (M),ils connaissent,irregular verbs,2,
They are familiar with (F),elles connaissent,irregular verbs,2,
We are familiar with,nous connaissons,irregular verbs,2,
to know (infinitive),savoir,irregular verbs,3
I know,je sais,irregular verbs,3,
You know (singular/informal),tu sais,irregular verbs,3,
He knows,il sait,irregular verbs,3,
She knows,elle sait,irregular verbs,3,
You know (formal/plural),vous savez,irregular verbs,3,
They know (M),ils savent,irregular verbs,3,
They know (F),elles savent,irregular verbs,3,
We know,nous savons,irregular verbs,3,
to leave (infinitive),partir,irregular verbs,3,
I leave,je pars,irregular verbs,3,
You leave (singular/informal),tu pars,irregular verbs,3,
He leaves,il part,irregular verbs,3,
She leaves,elle part,irregular verbs,3,
You leave (formal/plural),vous partez,irregular verbs,3,
They leave (M),ils partent,irregular verbs,3,
They leave (F),elles partent,irregular verbs,3,
We leave,nous partons,irregular verbs,3,
to live (infinitive),vivre,irregular verbs,3,
I live,je vis,irregular verbs,3,
You live (singular/informal),tu vis,irregular verbs,3,
He lives,il vit,irregular verbs,3,
She lives,elle vit,irregular verbs,3,
You live (formal/plural),vous vivez,irregular verbs,3,
They live (M),ils vivent,irregular verbs,3,
They live (F),elles vivent,irregular verbs,3,
We live,nous vivons,irregular verbs,3,
man,l'homme,people,3,
woman,la femme,people,3,
boy,le garçon,people,3,
girl,la fille,people,3,
child,l'enfant,people,3,
baby,le bébé,people,3,
friend (M),un ami,people,3,
friend (F),une amie,people,3,
parents,les parents,people,3,
father,le père,people,3,
mother,la mère,people,3,
brother,le frère,people,3,
sister,la sœur,people,3,
son,le fils,people,3,
daughter,la fille,people,3,
uncle,l'oncle,people,3,
aunt,la tante,people,3,
cousin (M),le cousin,people,3,
cousin (F),la cousine,people,3,
grandfather,le grand-père,people,3,
grandmother,la grand-mère,people,3,
husband,le mari,people,3,
wife,la femme,people,3,
neighbor (M),le voisin,people,3,
neighbor (F),la voisine,people,3,
university student (M),l'étudiant,professions,3,
university student (F),l'étudiante,professions,3,
teacher (M),le professeur,professions,3,
teacher (F),la professeure,professions,3,
doctor (M),le médecin,professions,3,
doctor (F),la docteure,professions,3,
nurse (M),l'infirmier,professions,3,
nurse (F),l'infirmière,professions,3,
waiter,le serveur,professions,3,
waitress,la serveuse,professions,3,
policeman,le policier,professions,3,
policewoman,la policière,professions,3,
firefighter,le pompier,professions,3,
engineer (M),l'ingénieur,professions,3,
engineer (F),l'ingénieure,professions,3,
school pupil,l'élève,professions,3,
school,l'école,places,3,
classroom,la salle de classe,places,3,
library,la bibliothèque,places,3,
university,l'université,places,3,
hospital,l'hôpital,places,3,
pharmacy,la pharmacie,places,3,
restaurant,le restaurant,places,3,
café,le café,places,3,
shop,le magasin,places,3,
supermarket,le supermarché,places,3,
market,le marché,places,3,
bank,la banque,places,3,
post office,la poste,places,3,
church,l'église,places,3,
street,la rue,places,3,
park,le parc,places,3,
garden,le jardin,places,3,
house,la maison,places,3,
apartment,l'appartement,places,3,
room,la chambre,places,3,
kitchen,la cuisine,places,3,
bathroom,la salle de bains,places,3,
living room,le salon,places,3,
window,la fenêtre,objects,3,
door,la porte,objects,3,
bed,le lit,objects,3,
table,la table,objects,3,
chair,la chaise,objects,3,
sofa,le canapé,objects,3,
lamp,la lampe,objects,3,
mirror,le miroir,objects,3,
computer,l'ordinateur,objects,3,
phone,le téléphone,objects,3,
bag,le sac,objects,3,
shoe,la chaussure,objects,3,
shirt,la chemise,objects,3,
pants,le pantalon,objects,3,
dress,la robe,objects,3,
coat,le manteau,objects,3,
hat,le chapeau,objects,3,
glasses,les lunettes,objects,3,
watch,la montre,objects,3,
wallet,le portefeuille,objects,3,
pen,un stylo,objects,3,
pencil,un crayon,objects,3,
eraser,une gomme,objects,3,
notebook,un cahier,objects,3,
book,un livre,objects,3,
newspaper,le journal,objects,3,
magazine,le magazine,objects,3,
key,la clé,objects,3,
umbrella,le parapluie,objects,3,
food,la nourriture,food,3,
bread,le pain,food,3,
cheese,le fromage,food,3,
water,l'eau,food,3,
milk,le lait,food,3,
coffee,le café,food,3,
tea,le thé,food,3,
juice,le jus,food,3,
fruit,le fruit,food,3,
apple,la pomme,food,3,
banana,la banane,food,3,
orange,l'orange,food,3,
pear,la poire,food,3,
grape,le raisin,food,3,
vegetable,le légume,food,3,
carrot,la carotte,food,3,
potato,la pomme de terre,food,3,
tomato,la tomate,food,3,
lettuce,la laitue,food,3,
meat,la viande,food,3,
fish,le poisson,food,3,
egg,l'œuf,food,3,
chicken,le poulet,food,3,
beef,le bœuf,food,3,
soup,la soupe,food,3,
rice,le riz,food,3,
pasta,les pâtes,food,3,
sugar,le sucre,food,3,
salt,le sel,food,3,
butter,le beurre,food,3,
cake,le gâteau,food,3,
ice cream,la glace,food,3,
cookie,le biscuit,food,3,
jam,la confiture,food,3,
honey,le miel,food,3,
chocolate,le chocolat,food,3,
red,rouge,colors,4,
blue,bleu,colors,4,
green,vert,colors,4,
yellow,jaune,colors,4,
black,noir,colors,4,
white,blanc,colors,4,
brown,marron,colors,4,
grey,gris,colors,4,
pink,rose,colors,4,
orange,orange,colors,4,
big,grand(e),adjectives,4,
small,petit(e),adjectives,4,
young,jeune,adjectives,4,
old,vieux/vieille,adjectives,4,
new,nouveau/nouvelle,adjectives,4,
good,bon(ne),adjectives,4,
bad,mauvais(e),adjectives,4,
happy,heureux/heureuse,adjectives,4,
sad,triste,adjectives,4,
beautiful,beau/belle,adjectives,4,
ugly,laid(e),adjectives,4,
easy,facile,adjectives,4,
difficult,difficile,adjectives,4,
hot,chaud(e),adjectives,4,
cold,froid(e),adjectives,4,
open,ouvert(e),adjectives,4,
closed,fermé(e),adjectives,4,
clean,propre,adjectives,4,
dirty,sale,adjectives,4,
left,gauche,directions,4,
right,droite,directions,4,
straight,à droite,directions,4,
here,ici,adverbs,4,
there,là,adverbs,4,
always,toujours,adverbs,4,
never,jamais,adverbs,4,
sometimes,parfois,adverbs,4,
often,souvent,adverbs,4,
now,maintenant,adverbs,4,
soon,bientôt,adverbs,4,
before,avant,adverbs,4,
after,après,adverbs,4,
who,qui,question words,4,
what,quoi/que,question words,4,
where,où,question words,4,
when,quand,question words,4,
why,pourquoi,question words,4,
how,comment,question words,4,
how much,combien,question words,4,
which,quel/quelle,question words,4,
my,mon/ma/mes,possessives,4,
your (singular),ton/ta/tes,possessives,4,
his/her/its,son/sa/ses,possessives,4,
our,notre/nos,possessives,4,
your (plural),votre/vos,possessives,4,
their,leur/leurs,possessives,4,
body,le corps,body,4,
head,la tête,body,4,
face,le visage,body,4,
eye,l'œil/les yeux,body,4,
ear,l'oreille,body,4,
nose,le nez,body,4,
mouth,la bouche,body,4,
tooth,la dent,body,4,
arm,le bras,body,4,
hand,la main,body,4,
finger,le doigt,body,4,
leg,la jambe,body,4,
foot,le pied,body,4,
stomach,le ventre,body,4,
back,le dos,body,4,
hair,les cheveux,body,4,
